no;source;target;weight
1;AccessTokens;Sequelize.STRING;3400
2;AccessTokens;Sequelize.JSONB;3400
3;AccessTokens;Sequelize.DATE;3400
4;AccessTokens;dbEnvs.schema;3400
5;AuthorizationCodes;Sequelize.STRING;201
6;AuthorizationCodes;Sequelize.JSONB;201
7;AuthorizationCodes;Sequelize.DATE;201
8;AuthorizationCodes;dbEnvs.schema;201
9;BackchannelAuthenticationRequests;Sequelize.STRING;100
10;BackchannelAuthenticationRequests;Sequelize.JSONB;100
11;BackchannelAuthenticationRequests;Sequelize.DATE;100
12;BackchannelAuthenticationRequests;dbEnvs.schema;100
13;ClientCredentials;Sequelize.STRING;201
14;ClientCredentials;Sequelize.JSONB;201
15;ClientCredentials;Sequelize.DATE;201
16;ClientCredentials;dbEnvs.schema;201
17;ClientKeyStores;Sequelize.STRING;100
18;ClientKeyStores;Sequelize.JSONB;100
19;ClientKeyStores;Sequelize.DATE;100
20;ClientKeyStores;Sequelize.BOOLEAN;100
21;ClientKeyStores;dbEnvs.schema;100
22;Clients;Sequelize.STRING;100
23;Clients;Sequelize.JSONB;100
24;Clients;Sequelize.DATE;100
25;Clients;dbEnvs.schema;100
26;Consents;Sequelize.STRING;201
27;Consents;Sequelize.JSONB;201
28;Consents;Sequelize.DATE;201
29;Consents;dbEnvs.schema;201
30;DeviceCodes;Sequelize.STRING;100
31;DeviceCodes;Sequelize.JSONB;100
32;DeviceCodes;Sequelize.DATE;100
33;DeviceCodes;dbEnvs.schema;100
34;DeviceCredentials;Sequelize.STRING;100
35;DeviceCredentials;Sequelize.JSONB;100
36;DeviceCredentials;Sequelize.DATE;100
37;DeviceCredentials;dbEnvs.schema;100
38;DeviceCredentials;Sequelize.INTEGER;100
39;DeviceCredentials;Sequelize.BOOLEAN;100
40;Grants;Sequelize.STRING;201
41;Grants;Sequelize.JSONB;201
42;Grants;Sequelize.DATE;201
43;Grants;dbEnvs.schema;201
44;Grants;Sequelize.BOOLEAN;201
45;InitialAccessTokens;Sequelize.STRING;201
46;InitialAccessTokens;Sequelize.JSONB;201
47;InitialAccessTokens;Sequelize.DATE;201
48;InitialAccessTokens;dbEnvs.schema;201
49;Interactions;Sequelize.STRING;201
50;Interactions;Sequelize.JSONB;201
51;Interactions;Sequelize.DATE;201
52;Interactions;dbEnvs.schema;201
53;PushedAuthorizationRequests;Sequelize.STRING;100
54;PushedAuthorizationRequests;Sequelize.JSONB;100
55;PushedAuthorizationRequests;Sequelize.DATE;100
56;PushedAuthorizationRequests;dbEnvs.schema;100
57;RefreshTokens;Sequelize.STRING;201
58;RefreshTokens;Sequelize.JSONB;201
59;RefreshTokens;Sequelize.DATE;201
60;RefreshTokens;dbEnvs.schema;201
61;RegistrationAccessTokens;Sequelize.STRING;100
62;RegistrationAccessTokens;Sequelize.JSONB;100
63;RegistrationAccessTokens;Sequelize.DATE;100
64;RegistrationAccessTokens;dbEnvs.schema;100
65;ReplayDetections;Sequelize.STRING;100
66;ReplayDetections;Sequelize.JSONB;100
67;ReplayDetections;Sequelize.DATE;100
68;ReplayDetections;dbEnvs.schema;100
69;ReqSso;Sequelize.STRING;100
70;ReqSso;Sequelize.JSONB;100
71;ReqSso;Sequelize.DATE;100
72;ReqSso;dbEnvs.schema;100
73;Scopes;Sequelize.STRING;100
74;Scopes;Sequelize.JSONB;100
75;Scopes;Sequelize.DATE;100
76;Scopes;dbEnvs.schema;100
77;Sessions;Sequelize.STRING;201
78;Sessions;Sequelize.JSONB;201
79;Sessions;Sequelize.DATE;201
80;Sessions;dbEnvs.schema;201
81;TwoStepAuthSessions;Sequelize.STRING;201
82;TwoStepAuthSessions;Sequelize.JSONB;201
83;TwoStepAuthSessions;Sequelize.DATE;201
84;TwoStepAuthSessions;dbEnvs.schema;201
85;TwoStepAuthSessions;Sequelize.INTEGER;201
86;authChecker.checkAuth;req;3400
87;authChecker.checkAuth;res;3400
88;authChecker.checkAuth;authTokenType;3400
89;auth.doIntrospection;myHeaders;3400
90;auth.doIntrospection;urlencoded;3400
91;auth.doIntrospection;fetchIntrospection;3400
92;auth.doIntrospection;`${issUri}/connect/token/introspection`;3400
93;auth.getBasicAuthSSO;CLIENT_ID;3400
94;auth.getBasicAuthSSO;CLIENT_SECRET;3400
95;auth.getBasicAuthSSO;ISSUER;3400
96;auth.getBasicAuthSSO;`${ISSUER}/api/v1/client/${CLIENT_ID}/jwks`;3400
97;auth.getBasicAuthSSO;decodeKey;3400
98;auth.getBasicAuthSSO;jsonToEncrypt;3400
99;auth.getBasicAuthSSO;encode;3400
100;auth.getBasicAuthSSO;`${ISSUER}/api/v1/client/${CLIENT_ID}/token;3400
101;authChecker.checkAuth;language;3400
102;authChecker.checkAuth;authHeader;3400
103;authChecker.checkAuth;errMsg;3400
104;authChecker.checkAuth;tokenType;3400
105;authChecker.checkAuth;tokenKey;3400
106;authChecker.checkAuth;tokenIsValid;3400
107;authChecker.checkAuth;clientData;3400
108;authChecker.checkAuth;userAuthData;3400
109;authChecker.checkAuth;regex;3400
110;authChecker.checkAuth;isJwtToken;3400
111;authChecker.checkAuth;checkAccessTokens;3400
112;authChecker.checkAuth;isJwtAccessToken;3400
113;authChecker.checkAuth;publicKey;3400
114;authChecker.checkAuth;jwksToPem;3400
115;authChecker.checkAuth;statusVerifyJwt;3400
116;authChecker.checkAuth;jwt.verify;3400
117;authChecker.checkAuth;checkClientCredentials;3400
118;authChecker.checkAuth;checkClients;3400
119;authChecker.checkAuth;fetchUsers;3400
120;authChecker.checkAuth;checkGrants;3400
121;authChecker.checkAuth;checkBearer;3400
122;authChecker.checkAuth;fetchUsers;3400
123;authChecker.checkAuth;decodeJWT;3400
124;authChecker.checkAuth;checkKeyStore;3400
125;authChecker.checkAuth;convertPublicKey;3400
126;authChecker.checkAuth;verifyJWT;3400
127;authChecker.checkAuth;decodingJti;3400
128;authChecker.checkAuth;checkClient;3400
129;authChecker.checkAuth;checkKeyStore;3400
130;authChecker.checkAuth;requestUris;3400
131;authChecker.checkAuth;dateLastUpdate;3400
132;authChecker.checkAuth;dateNow;3400
133;authChecker.checkAuth;groupIdNow;3400
134;authChecker.checkAuth;results;3400
135;authChecker.checkAuth;headers;3400
136;authChecker.checkAuth;timenow;3400
137;authChecker.checkAuth;findClient;3400
138;authChecker.checkAuth;findInitToken;3400
139;authChecker.checkAuth;signatureVerifier;3400
140;authChecker.checkAuth;headers;3400
141;authChecker.checkAuth;findClient;3400
142;authChecker.checkAuth;errors;3400
143;basicAuthToken.decodeKeySet;CryptoJS.AES.decrypt;1288
144;basicAuthToken.decodeKeySet;JSON.parse;1288
145;basicAuthToken.createSignatureKey;CryptoJS.SHA256;1288
146;basicAuthToken.createSignatureKey;CryptoJS.AES.encrypt;1288
147;basicAuthToken.fetchKeySet;basicAuthToken.decodeKeySet;2112
148;basicAuthToken.fetchKeySet;basicAuthToken.createSignatureKey;2112
149;basicAuthToken.fetchBasicToken;-;2112
150;basicAuthToken.verifyBasicAuthToken;basicAuthToken.fetchKeySet;1288
151;basicAuthToken.verifyBasicAuthToken;jwktopem;1288
152;basicAuthToken.verifyBasicAuthToken;jwt.verify;1288
153;basicAuthToken.generateBasicAuthToken;basicAuthToken.fetchKeySet;1288
154;basicAuthToken.generateBasicAuthToken;basicAuthToken.fetchBasicToken;1288
155;basicAuthToken.generatePKCE;randomAplhaNumeric;1288
156;basicAuthToken.generatePKCE;CryptoJS.SHA256;1288
157;basicAuthToken.generatePKCE;base64url.fromBase64;1288
